Такт ; Fetch    ; Decode   ; IQ; Issue     ; E1        ; E2        ; Mem (M1, M2, M3)           ; WB      
1    ; I1,I2    ; –        ; –                ; –         ; –         ; –         ; –                          ; –       
2    ; I3,I4    ; I1,I2    ; –                ; I1,I2     ; I1,I2     ; –         ; –                          ; –       
3    ; I5,I6    ; I3,I4    ; [I4]             ; I3        ; I3        ; I1,I2     ; –                          ; –       
4    ; –        ; I5       ; [I5]             ; I4        ; I4        ; I3        ; –                          ; I1,I2   
5    ; I7,I8    ; I6       ; [I6]             ; I5        ; I5        ; –         ; M1: I4                     ; I3      
6    ; –        ; I7       ; [I7]             ; I6        ; I6        ; I5        ; M2: I4                     ; –       
7    ; I9,I10   ; I8       ; [I7,I8]          ; –         ; –         ; –         ; M1: I6, M3: I4             ; I5      
8    ; –        ; –        ; [I7,I8]          ; –         ; –         ; –         ; M2: I6                     ; –       
9    ; –        ; –        ; [I8]             ; I7        ; I7        ; –         ; M3: I6                     ; –       
10   ; –        ; I9       ; [I8,I9]          ; –         ; –         ; –         ; M1: I7                     ; I6      
11   ; –        ; –        ; [I9]             ; I8        ; I8        ; –         ; M2: I7                     ; –       
12   ; I11,I12  ; I10      ; [I10]            ; I9        ; I9        ; –         ; M3: I7, M1: I8             ; –       
13   ; –        ; I11      ; [I10,I11]        ; –         ; –         ; I9        ; M2: I8                     ; –       
14   ; –        ; –        ; [I11]            ; I10       ; I10       ; –         ; M3: I8                     ; I9      
15   ; I13,I14  ; I12      ; [I12]            ; I11       ; I11       ; I10       ; M3: I8                     ; –       
16   ; –        ; I13      ; [I12,I13]        ; –         ; –         ; –         ; M1: I11                    ; I10     
17   ; –        ; –        ; [I13]            ; I12       ; I12       ; –         ; M2: I11                    ; –       
18   ; I15,I16  ; I14      ; [I13,I14]        ; –         ; –         ; –         ; M3: I11, M1: I12           ; –       
19   ; –        ; –        ; [I13,I14]        ; –         ; –         ; –         ; M2: I12                    ; –       
20   ; –        ; –        ; [I13,I14]        ; –         ; –         ; –         ; M3: I12                    ; –       
21   ; –        ; –        ; [I13,I14]        ; –         ; –         ; –         ; –                          ; I12     
22   ; –        ; –        ; [I14]            ; I13       ; I13       ; –         ; –                          ; –       
23   ; –        ; I15      ; [I15]            ; I14       ; I14       ; I13       ; –                          ; –       
24   ; I17,I18  ; I16      ; –                ; I15,I16   ; I15,I16   ; –         ; –                          ; I13     
25   ; I19,I20  ; I17,I18  ; [I18]            ; I17       ; I17       ; –         ; M1: I16                    ; –       
26   ; –        ; I19      ; [I18,I19]        ; –         ; –         ; I17       ; M2: I16                    ; –       
27   ; –        ; –        ; [I19]            ; I18       ; I18       ; –         ; M3: I16                    ; I17     
28   ; I21,I22  ; I20      ; [I20]            ; I19       ; I19       ; –         ; M1: I18                    ; I16     
29   ; –        ; I21      ; [I21]            ; I20       ; I20       ; –         ; M2: I18                    ; –       
30   ; I23,I24  ; I22      ; [I22]            ; I21       ; I21       ; –         ; M3: I18, M1: I20           ; –       
31   ; –        ; I23      ; [I23]            ; I22       ; I22       ; I21       ; M2: I20                    ; –       
32   ; I25,I26  ; I24      ; [I24]            ; I23       ; I23       ; –         ; M3: I20, M1: I22           ; I21     
33   ; –        ; I25      ; [I24,I25]        ; –         ; –         ; –         ; M2: I22, M1: I23           ; I20     
34   ; –        ; –        ; [I24,I25]        ; –         ; –         ; –         ; M3: I22, M2: I23           ; –       
35   ; –        ; –        ; [I25]            ; I24       ; I24       ; –         ; M3: I23                    ; I22     
36   ; I27,I28  ; I26      ; [I26]            ; I25       ; I25       ; I24       ; M1: I25                    ; I23     
37   ; –        ; I27      ; [I26,I27]        ; –         ; –         ; –         ; M2: I25                    ; I24     
38   ; –        ; –        ; [I27]            ; I26       ; I26       ; –         ; M3: I25                    ; –       
39   ; –        ; I28      ; –                ; I27,I28   ; I27,I28   ; I26       ; –                          ; I25     
40   ; –        ; –        ; –                ; –         ; –         ; I27       ; –                          ; I26     
41   ; –        ; –        ; –                ; –         ; –         ; –         ; –                          ; I27     
